number,objective_score,crash_threshold,entry_pct,exit_z,gross_util,lookback,max_hold,roc_pct,roc_window,state,active_fold_count,activity_penalty,user_attrs_entry_pct,user_attrs_exit_z,user_attrs_gross_util,inactivity_penalty,invalid_reason,user_attrs_lookback,user_attrs_max_hold,mean_active_days_per_fold,mean_val_max_dd,mean_val_return,mean_val_sharpe,user_attrs_objective_score,penalty_reasons,user_attrs_roc_pct,user_attrs_roc_window,std_val_sharpe,total_dev_trades,traded_fold_share
37,-0.27292732759108546,-15%,0.8,0.25,0.25,126,5,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
38,-0.18998520200177363,off,0.8,0.0,0.25,126,7,0.9,3,PRUNED,,,,,,,,,,,,,,,,,,,,
39,-0.18500246275293528,off,0.8,0.0,0.25,126,5,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
40,-0.7335871803246301,-15%,0.8,0.25,0.25,126,7,0.9,3,PRUNED,,,,,,,,,,,,,,,,,,,,
41,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
42,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
43,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
44,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
45,0.08319088557065087,off,0.8,0.0,1.0,126,7,0.9,3,PRUNED,,,,,,,,,,,,,,,,,,,,
46,-0.18500246275293528,off,0.8,0.0,0.25,126,5,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
47,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
48,-2.006028217114071,off,0.8,0.25,2.0,126,7,0.9,3,PRUNED,,,,,,,,,,,,,,,,,,,,
49,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
50,-0.13254652424272617,off,0.8,0.0,1.0,126,5,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,1.0,0.0,,126.0,5.0,7.266666666666667,-0.060775160901407346,-0.0004430290914279711,0.08709649957032854,-0.13254652424272617,,0.95,3.0,1.464286825420365,54.0,0.9333333333333333
51,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
52,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
53,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
54,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
55,-0.5471943985695655,off,0.75,0.0,0.25,126,7,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
56,-0.12708731812180196,off,0.8,0.0,0.25,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,0.25,0.0,,126.0,7.0,8.2,-0.017799596845563734,-0.0002928523295382179,0.09772526894266065,-0.12708731812180196,,0.95,3.0,1.4987505804297507,54.0,0.9333333333333333
57,-0.319379034749233,-15%,0.8,0.0,0.25,126,7,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
58,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
59,-2.1172960287013396,off,0.75,0.25,2.0,126,7,0.9,3,PRUNED,,,,,,,,,,,,,,,,,,,,
60,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
61,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
62,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
63,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
64,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
65,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
66,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
67,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
68,-0.29693535863288006,off,0.75,0.0,2.0,126,7,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
69,-0.28758089203219367,-15%,0.8,0.0,2.0,126,7,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
70,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
71,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
72,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
73,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
74,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
75,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
76,-0.09467349828398021,off,0.8,0.0,2.0,126,5,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,5.0,7.266666666666667,-0.10753891537992263,0.004367114622474484,0.12487190391380616,-0.09467349828398021,,0.95,3.0,1.4636360146519092,54.0,0.9333333333333333
77,-0.11270129759620806,off,0.8,0.25,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.25,2.0,0.0,,126.0,7.0,7.666666666666667,-0.08995675035362256,0.0049379647611691,0.11225545279422311,-0.11270129759620806,,0.95,3.0,1.4997116692695411,54.0,0.9333333333333333
78,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
79,-0.0440563190130733,off,0.8,0.0,2.0,126,7,0.95,3,COMPLETE,14.0,0.0,0.8,0.0,2.0,0.0,,126.0,7.0,8.2,-0.1151818015395078,0.009879683155291514,0.18226362982953845,-0.0440563190130733,,0.95,3.0,1.508799658950745,54.0,0.9333333333333333
